field_from_csv,modifier,conversion
demography/ageGroup,,D_AgeGroup
demography/gender,,D_Gender
general/postgresId,,PostGRESID
geo/country,,G_Country
geo/latitude,,G_Lat
geo/longitude,,G_Long
geo/nutsLevel1Location,,G_Nuts1
geo/nutsLevel2Location,,G_Nuts2
geo/nutsLevel3Location,,G_Nuts3
keyword.match/news,,C_News
retweet.twitter.tweet/contributors,,RT_T_Contributors
retweet.twitter.tweet/created,"Replace(Replace([retweet.twitter.tweet/created],'T',' '),'.000Z','') ",RT_T_Created
retweet.twitter.tweet/favouriteCount,,RT_T_FavouriteCount
retweet.twitter.tweet/favourited,,RT_T_Favourited
retweet.twitter.tweet/hashtags,,RT_T_Hashtags
retweet.twitter.tweet/id,,RT_T_ID
retweet.twitter.tweet/inReplyToScreenName,lower([retweet.twitter.tweet/inReplyToScreenName]),RT_T_ReplyToScreenName
retweet.twitter.tweet/inReplyToStatusID,,RT_T_ReplyToStatusID
retweet.twitter.tweet/inReplyToUserID,,RT_T_ReplyToUserID
retweet.twitter.tweet/lang,,RT_T_Lang
retweet.twitter.tweet/latitude,,RT_T_Lat
retweet.twitter.tweet/longitude,,RT_T_Long
retweet.twitter.tweet/mediaUrls,,RT_T_MediaURLs
retweet.twitter.tweet/mentions,,RT_T_Mentions
retweet.twitter.tweet/originalText,,RT_T_OriginalText
retweet.twitter.tweet/possiblySensitive,,RT_T_PossiblySensitive
retweet.twitter.tweet/retweetCount,,RT_T_RetweetCount
retweet.twitter.tweet/source,,RT_T_Source
retweet.twitter.tweet/text,,RT_T_Text
retweet.twitter.tweet/truncated,,RT_T_Truncated
retweet.twitter.tweet/urls,,RT_T_URLs
retweet.twitter.user/contributorsEnabled,,RT_U_ContributorsEnabled
retweet.twitter.user/createdAt,,RT_U_CreatedAt
retweet.twitter.user/description,,RT_U_Description
retweet.twitter.user/favouritesCount,,RT_U_FavouritesCount
retweet.twitter.user/followersCount,,RT_U_FollowersCount
retweet.twitter.user/friendsCount,,RT_U_FriendsCount
retweet.twitter.user/geoEnabled,,RT_U_GeoEnabled
retweet.twitter.user/id,,RT_U_ID
retweet.twitter.user/isTranslator,,RT_U_IsTranslator
retweet.twitter.user/lang,,RT_U_Lang
retweet.twitter.user/listedCount,,RT_U_ListedCount
retweet.twitter.user/location,lower([retweet.twitter.user/location]),RT_U_Location
retweet.twitter.user/name,,RT_U_Name
retweet.twitter.user/protectedTweets,,RT_U_ProtectedTweets
retweet.twitter.user/screenName,lower([retweet.twitter.user/inReplyToScreenName]),RT_U_ScreenName
retweet.twitter.user/statusesCount,,RT_U_StatusesCount
retweet.twitter.user/timezone,,RT_U_Timezone
retweet.twitter.user/url,,RT_U_URL
retweet.twitter.user/utcOffset,,RT_U_UTCOffset
retweet.twitter.user/verified,,RT_U_Verified
twitter.tweet/contributors,,T_Contributors
twitter.tweet/created,"Replace(Replace([twitter.tweet/created],'T',' '),'.000Z','') ",T_Created
twitter.tweet/favouriteCount,,T_FavouriteCount
twitter.tweet/favourited,,T_Favourited
twitter.tweet/hashtags,"PurgeChar([twitter.tweet/hashtags],'[]') ",T_Hashtags
twitter.tweet/id,Distinct([twitter.tweet/id]),T_ID
twitter.tweet/inReplyToScreenName,lower([twitter.tweet/inReplyToScreenName]),T_ReplyToScreenName
twitter.tweet/inReplyToStatusID,,T_ReplyToStatusID
twitter.tweet/inReplyToUserID,,T_ReplyToUserID
twitter.tweet/lang,,T_Lang
twitter.tweet/latitude,,T_Lat
twitter.tweet/longitude,,T_Long
twitter.tweet/mediaUrls,"PurgeChar([twitter.tweet/mediaUrls],'[]')",T_MediaURLs
twitter.tweet/mentions,"PurgeChar([twitter.tweet/mentions],'[]') ",T_Mentions
twitter.tweet/originalText,,T_OriginalText
twitter.tweet/possiblySensitive,,T_PossiblySensitive
twitter.tweet/retweetCount,,T_RetweetCount
twitter.tweet/source,,T_Source
twitter.tweet/text,,T_Text
twitter.tweet/truncated,,T_Truncated
twitter.tweet/urls,"PurgeChar([twitter.tweet/urls],'[]') ",T_URLs
twitter.user/contributorsEnabled,,U_ContributorsEnabled
twitter.user/createdAt,,U_CreatedAt
twitter.user/description,,U_Description
twitter.user/favouritesCount,,U_FavouritesCount
twitter.user/followersCount,,U_FollowersCount
twitter.user/friendsCount,,U_FriendsCount
twitter.user/geoEnabled,,U_GeoEnabled
twitter.user/id,,U_ID
twitter.user/isTranslator,,U_IsTranslator
twitter.user/lang,,U_Lang
twitter.user/listedCount,,U_ListedCount
twitter.user/location,lower([twitter.user/location]),U_Location
twitter.user/name,,U_Name
twitter.user/protectedTweets,,U_ProtectedTweets
twitter.user/screenName,lower([twitter.user/screenName]),U_ScreenName
twitter.user/statusesCount,,U_StatusesCount
twitter.user/timezone,,U_Timezone
twitter.user/url,,U_URL
twitter.user/utcOffset,,U_UTCOffset
twitter.user/verified,,U_Verified